130808030,F,TS School of Business and Information Technology,TS941.11/83*
130808012,F,TS School of Business and Information Technology,I561.074/46
130808012,F,TS School of Business and Information Technology,H152.3/414
110303094,M,School of Physics and Information Engineering,TP311.138OR/57
110303094,M,School of Physics and Information Engineering,TP311.138SQ/190
110303094,M,School of Physics and Information Engineering,TP311.138OR/38
110303049,M,School of Physics and Information Engineering,TP316.7/5
110303049,M,School of Physics and Information Engineering,TP313/59#1
110303049,M,School of Physics and Information Engineering,TP316.81/93
131006039,F,School of Chemical Engineering and Material,I216.2/196#2
120905080,F,School of Resources and Environmental Science,I216.2/297*
120808015,F,TS School of Business and Information Technology,TS941.11/29
120808015,F,TS School of Business and Information Technology,TS941.17/5
120808015,F,TS School of Business and Information Technology,TS941.631/33
120808012,F,TS School of Business and Information Technology,TS941.2/256
120808012,F,TS School of Business and Information Technology,TS941.2/22
120808012,F,TS School of Business and Information Technology,TS941.28/69
130104031,F,School of Literature and Communication,I247.57/2828
130104031,F,School of Literature and Communication,K22/34#2
131006044,F,School of Chemical Engineering and Material,O62/170=2-10
131005018,F,School of Chemical Engineering and Material,I247.57/3594
110808002,F,TS School of Business and Information Technology,K825.42=76/26
120905044,F,School of Resources and Environmental Science,I267/3970
120905044,F,School of Resources and Environmental Science,I313.45/469.1
120905049,F,School of Resources and Environmental Science,I267.1/756*
120905049,F,School of Resources and Environmental Science,J292.13/121
110102084,F,School of Literature and Communication,I217.2/428.5*
130104041,F,School of Literature and Communication,I267.1/677
130104041,F,School of Literature and Communication,I267/3000
130104041,F,School of Literature and Communication,I514.45/30
111001022,F,School of Chemical Engineering and Material,G634.303/32
111001022,F,School of Chemical Engineering and Material,G451.1/23
131201006,F,School of Politics and Social Development,I712.45/1048-2
131201006,F,School of Politics and Social Development,J214.1/11
120403083,F,School of Educational Science,I247.57/1437#1
110503030,F,School of Music and Dance,J605/104
110503030,F,School of Music and Dance,J6-4/25
110503030,F,School of Music and Dance,J616.1/17
120605047,F,School of Applied Technology,I247.57/4304
120605047,F,School of Applied Technology,I247.57/4058*
120605047,F,School of Applied Technology,I247.57/3480*
130604021,F,School of Applied Technology,I266/339
130604015,F,School of Applied Technology,I712.45/2870
130604015,F,School of Applied Technology,I267.1/636
130604015,F,School of Applied Technology,K105-49/2*
130604015,F,School of Applied Technology,K835.165.7/23
130604039,F,School of Applied Technology,C912.1/609
130604039,F,School of Applied Technology,H319.36/11
130604039,F,School of Applied Technology,F713.3/300
130604025,F,School of Applied Technology,R331.3/1
130604025,F,School of Applied Technology,I267.1/848
130604025,F,School of Applied Technology,I712.45/460
130604025,F,School of Applied Technology,U46/38
110104058,F,School of Literature and Communication,I215.22/18
110104058,F,School of Literature and Communication,B251.5/3
110402014,F,School of Educational Science,TP312C/711
130604042,M,School of Applied Technology,I247.7/1507#3
130604042,M,School of Applied Technology,I561.44/321
130604036,M,School of Applied Technology,B848.4-49/137*
130604048,M,School of Applied Technology,F724.6/33-2
130604048,M,School of Applied Technology,TP391.41/1062
130604050,M,School of Applied Technology,R749.055/38
130604050,M,School of Applied Technology,B848/38
130604017,F,School of Applied Technology,I266/527
130604017,F,School of Applied Technology,I561.44/322
130604017,F,School of Applied Technology,I253.4/116
110503059,M,School of Music and Dance,G769.2/4*
110110036,F,School of Literature and Communication,I565.64/26
110110036,F,School of Literature and Communication,I247.53/12.2
110110036,F,School of Literature and Communication,I247.53/12.1
120104070,F,School of Literature and Communication,I565.44/387
120104073,F,School of Literature and Communication,I247.57/4357
120104073,F,School of Literature and Communication,TP391.41/255-3
130105034,F,School of Literature and Communication,G222.2/101
130105034,F,School of Literature and Communication,H119/19
130905050,F,School of Resources and Environmental Science,TU238.2/5
130905053,F,School of Resources and Environmental Science,TU204/57-25
130905045,F,School of Resources and Environmental Science,TU986.2/86
130104041,F,School of Literature and Communication,I521.45/56-5*
130104041,F,School of Literature and Communication,I313.45/127
121001022,F,School of Chemical Engineering and Material,O64-44/33
121001022,F,School of Chemical Engineering and Material,O64-44/42=2
121001023,F,School of Chemical Engineering and Material,O64-44/30=2-5
121001023,F,School of Chemical Engineering and Material,O64-44/42=2
111203032,F,School of Politics and Social Development,J825.57/11
111203032,F,School of Politics and Social Development,J825.57/16
120906030,M,School of Resources and Environmental Science,I565.45/387
120906030,M,School of Resources and Environmental Science,I267.1/745
120403015,F,School of Educational Science,J624.16/159
110202090,F,School of Foreign Languages,H319.4:I/372
110202090,F,School of Foreign Languages,H319.4:I561.45/25
