151007042,F,School of Chemical Engineering and Material,O151.2/352
140404011,F,School of Educational Science,I246.57/87-31
130201081,F,School of Foreign Languages,H319.9/597
150801035,F,TS School of Business and Information Technology,I247.57/4800
140405019,F,School of Educational Science,F230/44-9
130201064,F,School of Foreign Languages,I712.09/17#1
130303075,M,School of Physics and Information Engineering,TP311.1/95
140402022,F,School of Educational Science,I266/629
130808034,F,TS School of Business and Information Technology,TS941.716/2-2
130102022,F,School of Literature and Communication,I242.47/55.1
140801045,F,TS School of Business and Information Technology,H31/1463.2-3
130106003,F,School of Literature and Communication,J212.26/126
131007011,F,School of Chemical Engineering and Material,I14/663
151203012,F,School of Politics and Social Development,H319.9/623
150801047,F,TS School of Business and Information Technology,I267.1/833*
150801047,F,TS School of Business and Information Technology,I514.45/23-5
130905066,M,"	
School of Resources and Environmental Science",TP391.72/351
130905066,M,"	
School of Resources and Environmental Science",TP391.72/354
130905066,M,"	
School of Resources and Environmental Science",TU201.4/113
130905066,M,"	
School of Resources and Environmental Science",TU201.4/96
150808060,M,TS School of Business and Information Technology,K820.25/2
150508006,F,School of Music and Dance,J722.3/2-2
140102072,F,School of Literature and Communication,I246.57/84*
130802059,F,TS School of Business and Information Technology,B0-49/2
130802059,F,TS School of Business and Information Technology,A757/2
140403052,F,School of Educational Science,J218.5/25
150808060,M,TS School of Business and Information Technology,K837.115.38=5/4
150808060,M,TS School of Business and Information Technology,K9-49/29-2
131401033,F,School of Fine Arts and Design,J218.2/131
131401033,F,School of Fine Arts and Design,J218.7/119.27
131007009,F,School of Chemical Engineering and Material,R19/7
141005034,F,School of Chemical Engineering and Material,I242.1/221.1
141005034,F,School of Chemical Engineering and Material,I242.1/221.2
141202039,F,School of Politics and Social Development,I247.58/461
141202039,F,School of Politics and Social Development,I247.59/240.1
130202019,F,School of Foreign Languages,H319.4:I561.44/2
130202019,F,School of Foreign Languages,H319.4:I561.44/43
151405021,F,School of Fine Arts and Design,TP391.412/24
140403027,F,School of Educational Science,I247.7/847
140801045,F,TS School of Business and Information Technology,H319.34/35
150308019,F,School of Physics and Information Engineering,H310.421/49
150308026,F,School of Physics and Information Engineering,H310.421/10
140808058,F,TS School of Business and Information Technology,I266/148*
130905085,F,"	
School of Resources and Environmental Science",TU986.2/163
130504021,F,School of Music and Dance,J601/37
130106032,M,School of Literature and Communication,J222.49/30
150201027,F,School of Foreign Languages,F7/75
140902034,F,"	
School of Resources and Environmental Science",I561.45/86-40
140201053,F,School of Foreign Languages,H019-49/98
150804037,F,TS School of Business and Information Technology,I14/469
150804037,F,TS School of Business and Information Technology,B81/666
130201064,F,School of Foreign Languages,I561.09/14
141002046,F,School of Chemical Engineering and Material,I14/589*
141002046,F,School of Chemical Engineering and Material,I14/647
130104042,F,School of Literature and Communication,I313.45/552
130104042,F,School of Literature and Communication,J905.2/67
130104042,F,School of Literature and Communication,J905.2/63
130104042,F,School of Literature and Communication,I247.57/4878=3-53
141001043,M,School of Chemical Engineering and Material,E892.25/65=2-4
130106039,F,School of Literature and Communication,J212.26/126
130106003,F,School of Literature and Communication,J212.27/345
130106003,F,School of Literature and Communication,J212/9
141304102,F,School of Maths and Computer Science,I247.57/4813
141304077,F,School of Maths and Computer Science,I242.47/369.2
141304077,F,School of Maths and Computer Science,I247.57/4156
150106003,F,School of Literature and Communication,J292.11/125=2
150106003,F,School of Literature and Communication,J292-09/38
140805029,M,TS School of Business and Information Technology,I712.65/156*
140805029,M,TS School of Business and Information Technology,I712.65/136=2-4
140307021,F,School of Physics and Information Engineering,I712.45/829-2
141201034,F,School of Politics and Social Development,I565.45/426
141201034,F,School of Politics and Social Development,F719.3/59=2-4
141201034,F,School of Politics and Social Development,F719.3/77
150604008,F,School of Applied Technology,I247.5/2756
150604008,F,School of Applied Technology,B844.12/11
131401033,F,School of Fine Arts and Design,J215/201
131401033,F,School of Fine Arts and Design,J215/197
